Address,BHK,Super Area(SQFT),Floor,Bathroom,Facing,Ownership,Transaction,Status,Price(Lakh),Price per SQFT,Garden/Park,Main Road,Pool,Price Level
Motijheel Avenue,2,850,4,2,South - East,Freehold,Resale,Ready to Move,40,3876,1,1,0,Low
Barasat,3,850,4,2,West,Freehold,Resale,Ready to Move,34,3189,0,1,1,Low
Vip Road,2,700,1,2,Unknown,Co-operative Society,Resale,Ready to Move,52,8176,0,0,0,Low
Ramrajatala Station Road,1,463,3,1,South - East,Unknown,Resale,Ready to Move,22,4752,0,0,0,Low
Bally,2,500,4,2,East,Freehold,Resale,Ready to Move,17,2810,0,0,0,Low
Narendrapur Rajpur Sonarpur,2,524,9,2,South,Freehold,Resale,Ready to Move,46,5617,0,0,0,Low
Lake Range,3,1900,4,3,South - East,Freehold,Resale,Ready to Move,400,16842,0,1,0,Mid
Baghajat,4,1400,2,2,South,Freehold,Resale,Ready to Move,90,6429,0,0,0,Low
Madhyamgram,3,850,11,2,South - East,Freehold,Resale,Ready to Move,70,6648,0,1,0,Low
Rajpur Sonarpur,3,1530,3,3,Unknown,Unknown,Resale,Ready to Move,118,7712,0,0,0,Low
International Airport,2,841,4,2,North - East,Freehold,Resale,Ready to Move,52,5253,0,0,0,Low
Rajpur Sonarpur,2,750,1,2,South -West,Freehold,Resale,Ready to Move,28,3733,0,0,0,Low
Kolkata,3,1150,1,2,Unknown,Unknown,Resale,Ready to Move,52,4522,0,0,0,Low
New Town,3,1200,7,3,Unknown,Unknown,Resale,Ready to Move,110,9167,0,0,0,Low
Barrackpore Trunk Road,3,1064,3,2,South,Freehold,Resale,Ready to Move,60,5639,1,0,1,Low
Hast,2,977,1,2,South,Co-operative Society,Resale,Ready to Move,110,9813,1,1,0,Low
Bansdroni,3,896,1,2,South,Power Of Attorney,Resale,Ready to Move,50,4464,0,1,0,Low
Purbachal Garden,2,780,3,2,Unknown,Unknown,Resale,Unknown,40,5128,0,0,0,Low
Banerjee Para Paschim Putiary,2,720,0,2,Unknown,Freehold,Resale,Ready to Move,27,3750,0,0,0,Low
Tegharia Baguiati,3,1290,4,2,Unknown,Freehold,Resale,Ready to Move,67,5194,1,0,0,Low
Kalibari Uluberia,2,750,,2,Unknown,Unknown,Resale,Unknown,19.2,2560,0,0,0,Low
Jadavpur,2,750,1,2,South - East,Freehold,Resale,Ready to Move,40,5333,0,1,0,Low
Dum Dum,3,674,2,2,South - East,Freehold,Resale,Ready to Move,118,14880,1,0,1,Low
Kolkata,2,1089,2,2,Unknown,Unknown,Resale,Ready to Move,45,4132.23140495868,0,0,0,Low
Rajarhat,2,860,4,2,North - West,Unknown,Resale,Ready to Move,83,9765,1,1,0,Low
Maheshtala,2,580,6,2,East,Freehold,Resale,Ready to Move,35,4916,1,1,0,Low
